,X,Y,UFlow,DFlow,Floor
0,70,80,0.5,0.5,1
1,82,194,0.5,0.5,0
2,169,177,0.5,0.5,1
3,179,114,0.5,0.5,0
4,140,375,0.5,0.5,1
5,104,273,0.5,0.5,0
6,157,322,0.5,0.5,1
7,157,570,0.5,0.5,0
8,225,433,0.5,0.5,1
9,273,522,0.5,0.5,0
10,307,520,0.5,0.5,1
11,438,478,0.5,0.5,0
12,296,330,0.5,0.5,1
13,434,308,0.5,0.5,0
14,494,252,0.5,0.5,1
15,496,254,0.5,0.5,0
16,687,106,0.5,0.5,1
17,756,93,0.5,0.5,0
18,728,357,0.5,0.5,1
19,728,359,0.5,0.5,0
20,998,263,0.5,0.5,1
21,815,304,0.5,0.5,0
22,886,128,0.5,0.5,1
23,886,128,0.5,0.5,0
24,998,93,0.5,0.5,1
25,1115,174,0.5,0.5,0
