Channels number ;3
Perturbation : 3
Instance name ;|I| ;|J|;RH1 UB;RH1 time;RH2 UB;RH2 time
optim_instances/Instance_MAP1A_0_1.dat;19;13;40;0.062;40;0.062
optim_instances/Instance_MAP1A_0_2.dat;19;13;160;0.029;160;0.029
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0.03;30;0.03
optim_instances/Instance_MAP1A_1_1.dat;13;23;40;0.024;40;0.024
optim_instances/Instance_MAP1A_1_2.dat;13;23;80;0.026;80;0.026
optim_instances/Instance_MAP1A_1_3.dat;13;23;30;0.319;30;0.319
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;0.028;40;0.028
optim_instances/Instance_MAP1A_2_2.dat;30;24;220;0.044;220;0.044
optim_instances/Instance_MAP1A_2_3.dat;30;24;630;0.029;40;0.177
optim_instances/Instance_MAP2A_0_1.dat;22;24;60;0.028;60;0.028
optim_instances/Instance_MAP2A_0_2.dat;22;24;700;0.059;700;4.218
optim_instances/Instance_MAP2A_0_3.dat;22;24;40;0.041;40;0.041
optim_instances/Instance_MAP2A_1_1.dat;39;35;140;0.047;140;0.047
optim_instances/Instance_MAP2A_1_2.dat;39;35;980;0.11;890;0.272
optim_instances/Instance_MAP2A_1_3.dat;39;35;80;0.093;80;0.093
optim_instances/Instance_MAP2A_2_1.dat;47;56;110;0.068;110;0.068
optim_instances/Instance_MAP2A_2_2.dat;47;56;520;0.162;430;0.64
optim_instances/Instance_MAP2A_2_3.dat;47;56;70;0.476;70;0.476
optim_instances/Instance_MAP3A_0_1.dat;18;25;50;0.028;50;0.028
optim_instances/Instance_MAP3A_0_2.dat;18;25;280;0.033;280;0.033
optim_instances/Instance_MAP3A_0_3.dat;18;25;40;0.026;40;0.026
optim_instances/Instance_MAP3A_1_1.dat;45;40;70;0.125;70;0.125
optim_instances/Instance_MAP3A_1_2.dat;45;40;130;0.068;130;0.068
optim_instances/Instance_MAP3A_1_3.dat;45;40;360;0.594;60;1.601
optim_instances/Instance_MAP3A_2_1.dat;73;62;160;0.306;160;0.306
optim_instances/Instance_MAP3A_2_2.dat;73;62;1470;0.283;990;7.421
optim_instances/Instance_MAP3A_2_3.dat;73;62;330;1.107;130;61.394
optim_instances/Instance_MAP4A_0_1.dat;26;38;60;0.041;60;0.041
optim_instances/Instance_MAP4A_0_2.dat;26;38;400;0.123;210;0.292
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;0.063;40;0.063
optim_instances/Instance_MAP4A_1_1.dat;41;36;190;0.081;190;0.081
optim_instances/Instance_MAP4A_1_2.dat;41;36;1010;0.051;1010;0.051
optim_instances/Instance_MAP4A_1_3.dat;41;36;380;0.047;380;0.047
optim_instances/Instance_MAP4A_2_1.dat;56;41;210;0.116;210;0.116
optim_instances/Instance_MAP4A_2_2.dat;56;41;1630;0.071;1630;0.071
optim_instances/Instance_MAP4A_2_3.dat;56;41;230;0.644;130;1.425
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;0.091;130;0.091
optim_instances/Instance_MAP5A_0_2.dat;45;39;1200;0.168;820;3.913
optim_instances/Instance_MAP5A_0_3.dat;45;39;770;2.562;670;7.141
optim_instances/Instance_MAP5A_1_1.dat;78;70;200;0.532;150;60.807
optim_instances/Instance_MAP5A_1_2.dat;78;70;980;0.783;600;6.911
optim_instances/Instance_MAP5A_1_3.dat;78;70;920;2.952;220;24.538
optim_instances/Instance_MAP5A_2_1.dat;101;115;210;0.388;210;0.388
optim_instances/Instance_MAP5A_2_2.dat;101;115;1210;3.405;740;15.511
optim_instances/Instance_MAP5A_2_3.dat;101;115;380;5.388;280;66.357
optim_instances/Instance_MAP6A_0_1.dat;92;84;250;7.001;180;28.038
optim_instances/Instance_MAP6A_0_2.dat;92;84;2310;1.283;1750;11.812
optim_instances/Instance_MAP6A_0_3.dat;92;84;2620;6.512;1230;68.331
optim_instances/Instance_MAP6A_1_1.dat;112;155;470;0.579;470;59.126
optim_instances/Instance_MAP6A_1_2.dat;112;155;3430;19.894;3400;53.697
optim_instances/Instance_MAP6A_1_3.dat;112;155;1720;7.002;1400;69.786
optim_instances/Instance_MAP6A_2_1.dat;181;175;580;101.64;510;7609.33
optim_instances/Instance_MAP6A_2_2.dat;181;175;5100;100.271;5100;263.618
optim_instances/Instance_MAP6A_2_3.dat;181;175;6210;101.035;2340;1090.48
optim_instances/Instance_MAP1B_0_1.dat;19;13;40;0.037;40;0.037
optim_instances/Instance_MAP1B_0_2.dat;19;13;160;0.028;160;0.028
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;0.03;30;0.03
optim_instances/Instance_MAP1B_1_1.dat;13;23;40;0.02;40;0.02
optim_instances/Instance_MAP1B_1_2.dat;13;23;170;0.024;170;0.024
optim_instances/Instance_MAP1B_1_3.dat;13;23;30;0.02;30;0.02
optim_instances/Instance_MAP1B_2_1.dat;30;24;60;0.033;60;0.033
optim_instances/Instance_MAP1B_2_2.dat;30;24;120;0.053;120;0.053
optim_instances/Instance_MAP1B_2_3.dat;30;24;40;0.06;40;0.06
optim_instances/Instance_MAP2B_0_1.dat;22;24;60;0.027;60;0.027
optim_instances/Instance_MAP2B_0_2.dat;22;24;400;0.036;400;0.036
optim_instances/Instance_MAP2B_0_3.dat;22;24;40;0.031;40;0.031
optim_instances/Instance_MAP2B_1_1.dat;39;35;130;0.041;130;0.041
optim_instances/Instance_MAP2B_1_2.dat;39;35;1090;0.06;1090;0.06
optim_instances/Instance_MAP2B_1_3.dat;39;35;180;2.189;80;2.562
optim_instances/Instance_MAP2B_2_1.dat;47;56;130;0.115;120;2.074
optim_instances/Instance_MAP2B_2_2.dat;47;56;710;0.107;710;0.107
optim_instances/Instance_MAP2B_2_3.dat;47;56;70;1.715;70;1.715
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;0.028;50;0.028
optim_instances/Instance_MAP3B_0_2.dat;18;25;400;0.048;310;0.106
optim_instances/Instance_MAP3B_0_3.dat;18;25;40;0.023;40;0.023
optim_instances/Instance_MAP3B_1_1.dat;45;40;60;0.128;60;0.128
optim_instances/Instance_MAP3B_1_2.dat;45;40;340;0.194;240;3.429
optim_instances/Instance_MAP3B_1_3.dat;45;40;160;0.133;60;1.33
optim_instances/Instance_MAP3B_2_1.dat;73;62;180;0.437;170;60.625
optim_instances/Instance_MAP3B_2_2.dat;73;62;1370;0.254;1180;4.575
optim_instances/Instance_MAP3B_2_3.dat;73;62;630;2.578;330;57.118
optim_instances/Instance_MAP4B_0_1.dat;26;38;70;0.037;70;0.037
optim_instances/Instance_MAP4B_0_2.dat;26;38;390;0.055;390;3.716
optim_instances/Instance_MAP4B_0_3.dat;26;38;40;0.68;40;0.68
optim_instances/Instance_MAP4B_1_1.dat;41;36;180;0.059;180;0.059
optim_instances/Instance_MAP4B_1_2.dat;41;36;1480;0.051;1480;0.051
