Channels number ;6
Perturbation : 1.5
Instance name ;|I| ;|J|;RH1 UB;RH1 time;RH2 UB;RH2 time
optim_instances/Instance_MAP1A_0_1.dat;19;13;40;0.085;40;0.085
optim_instances/Instance_MAP1A_0_2.dat;19;13;160;0.04;160;0.04
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0.043;30;0.043
optim_instances/Instance_MAP1A_1_1.dat;13;23;40;0.029;40;0.029
optim_instances/Instance_MAP1A_1_2.dat;13;23;80;0.04;80;0.04
optim_instances/Instance_MAP1A_1_3.dat;13;23;30;0.409;30;0.409
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;0.044;40;0.044
optim_instances/Instance_MAP1A_2_2.dat;30;24;220;0.077;220;0.077
optim_instances/Instance_MAP1A_2_3.dat;30;24;630;0.04;40;0.212
optim_instances/Instance_MAP2A_0_1.dat;22;24;60;0.045;60;0.045
optim_instances/Instance_MAP2A_0_2.dat;22;24;610;0.054;610;0.054
optim_instances/Instance_MAP2A_0_3.dat;22;24;40;0.067;40;0.067
optim_instances/Instance_MAP2A_1_1.dat;39;35;140;0.078;140;0.078
optim_instances/Instance_MAP2A_1_2.dat;39;35;890;0.103;890;0.103
optim_instances/Instance_MAP2A_1_3.dat;39;35;80;0.174;80;0.174
optim_instances/Instance_MAP2A_2_1.dat;47;56;110;0.124;110;0.124
optim_instances/Instance_MAP2A_2_2.dat;47;56;430;0.171;430;0.171
optim_instances/Instance_MAP2A_2_3.dat;47;56;70;0.509;70;0.509
optim_instances/Instance_MAP3A_0_1.dat;18;25;50;0.047;50;0.047
optim_instances/Instance_MAP3A_0_2.dat;18;25;280;0.042;280;0.042
optim_instances/Instance_MAP3A_0_3.dat;18;25;40;0.035;40;0.035
optim_instances/Instance_MAP3A_1_1.dat;45;40;70;0.213;70;0.213
optim_instances/Instance_MAP3A_1_2.dat;45;40;130;0.119;130;0.119
optim_instances/Instance_MAP3A_1_3.dat;45;40;60;0.799;60;0.799
optim_instances/Instance_MAP3A_2_1.dat;73;62;160;0.499;160;0.499
optim_instances/Instance_MAP3A_2_2.dat;73;62;900;0.381;900;0.381
optim_instances/Instance_MAP3A_2_3.dat;73;62;130;1.274;130;1.274
optim_instances/Instance_MAP4A_0_1.dat;26;38;60;0.057;60;0.057
optim_instances/Instance_MAP4A_0_2.dat;26;38;210;0.106;210;0.106
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;0.088;40;0.088
optim_instances/Instance_MAP4A_1_1.dat;41;36;190;0.099;190;0.099
optim_instances/Instance_MAP4A_1_2.dat;41;36;1010;0.09;1010;0.09
optim_instances/Instance_MAP4A_1_3.dat;41;36;380;0.072;380;0.072
optim_instances/Instance_MAP4A_2_1.dat;56;41;210;0.172;210;0.172
optim_instances/Instance_MAP4A_2_2.dat;56;41;1630;0.088;1630;0.088
optim_instances/Instance_MAP4A_2_3.dat;56;41;130;0.561;130;0.561
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;0.142;130;0.142
optim_instances/Instance_MAP5A_0_2.dat;45;39;620;0.128;620;0.128
optim_instances/Instance_MAP5A_0_3.dat;45;39;570;0.926;570;0.926
optim_instances/Instance_MAP5A_1_1.dat;78;70;150;0.635;150;0.635
optim_instances/Instance_MAP5A_1_2.dat;78;70;210;0.435;210;0.435
optim_instances/Instance_MAP5A_1_3.dat;78;70;120;1.469;120;1.469
optim_instances/Instance_MAP5A_2_1.dat;101;115;210;0.653;210;0.653
optim_instances/Instance_MAP5A_2_2.dat;101;115;440;1.226;440;1.226
optim_instances/Instance_MAP5A_2_3.dat;101;115;180;9.464;180;9.465
optim_instances/Instance_MAP6A_0_1.dat;92;84;170;1.485;170;1.485
optim_instances/Instance_MAP6A_0_2.dat;92;84;1160;0.728;1160;0.728
optim_instances/Instance_MAP6A_0_3.dat;92;84;330;4.883;230;66.04
optim_instances/Instance_MAP6A_1_1.dat;112;155;450;0.744;450;0.744
optim_instances/Instance_MAP6A_1_2.dat;112;155;2840;0.738;2840;0.738
optim_instances/Instance_MAP6A_1_3.dat;112;155;720;3.232;720;3.232
optim_instances/Instance_MAP6A_2_1.dat;181;175;360;5.204;360;5.204
optim_instances/Instance_MAP6A_2_2.dat;181;175;2510;100.427;2510;264.578
optim_instances/Instance_MAP6A_2_3.dat;181;175;1240;8.947;1240;8.947
optim_instances/Instance_MAP1B_0_1.dat;19;13;40;0.059;40;0.059
optim_instances/Instance_MAP1B_0_2.dat;19;13;160;0.056;160;0.056
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;0.051;30;0.051
optim_instances/Instance_MAP1B_1_1.dat;13;23;40;0.037;40;0.037
optim_instances/Instance_MAP1B_1_2.dat;13;23;170;0.044;170;0.044
optim_instances/Instance_MAP1B_1_3.dat;13;23;30;0.029;30;0.029
optim_instances/Instance_MAP1B_2_1.dat;30;24;60;0.057;60;0.057
optim_instances/Instance_MAP1B_2_2.dat;30;24;120;0.095;120;0.095
optim_instances/Instance_MAP1B_2_3.dat;30;24;40;0.093;40;0.093
optim_instances/Instance_MAP2B_0_1.dat;22;24;60;0.065;60;0.065
optim_instances/Instance_MAP2B_0_2.dat;22;24;400;0.053;400;0.053
optim_instances/Instance_MAP2B_0_3.dat;22;24;40;0.058;40;0.058
optim_instances/Instance_MAP2B_1_1.dat;39;35;130;0.063;130;0.064
optim_instances/Instance_MAP2B_1_2.dat;39;35;1090;0.09;1090;0.09
optim_instances/Instance_MAP2B_1_3.dat;39;35;80;5.092;80;5.092
optim_instances/Instance_MAP2B_2_1.dat;47;56;120;0.151;120;0.151
optim_instances/Instance_MAP2B_2_2.dat;47;56;710;0.146;710;0.146
optim_instances/Instance_MAP2B_2_3.dat;47;56;70;3.422;70;3.422
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;0.038;50;0.038
optim_instances/Instance_MAP3B_0_2.dat;18;25;310;0.057;310;0.057
optim_instances/Instance_MAP3B_0_3.dat;18;25;40;0.03;40;0.03
optim_instances/Instance_MAP3B_1_1.dat;45;40;60;0.189;60;0.189
optim_instances/Instance_MAP3B_1_2.dat;45;40;240;0.195;240;0.196
optim_instances/Instance_MAP3B_1_3.dat;45;40;60;0.198;60;0.198
optim_instances/Instance_MAP3B_2_1.dat;73;62;170;0.429;170;0.429
optim_instances/Instance_MAP3B_2_2.dat;73;62;1080;0.345;1080;0.346
optim_instances/Instance_MAP3B_2_3.dat;73;62;130;3.503;130;3.503
optim_instances/Instance_MAP4B_0_1.dat;26;38;70;0.064;70;0.064
optim_instances/Instance_MAP4B_0_2.dat;26;38;300;0.07;300;0.07
optim_instances/Instance_MAP4B_0_3.dat;26;38;40;1.478;40;1.478
optim_instances/Instance_MAP4B_1_1.dat;41;36;180;0.1;180;0.1
optim_instances/Instance_MAP4B_1_2.dat;41;36;1480;0.086;1480;0.087
optim_instances/Instance_MAP4B_1_3.dat;41;36;400;0.085;400;0.085
optim_instances/Instance_MAP4B_2_1.dat;56;41;230;0.11;230;0.11
optim_instances/Instance_MAP4B_2_2.dat;56;41;1920;0.121;1920;0.121
optim_instances/Instance_MAP4B_2_3.dat;56;41;150;0.292;150;0.292
optim_instances/Instance_MAP5B_0_1.dat;45;39;130;3.157;130;3.157
optim_instances/Instance_MAP5B_0_2.dat;45;39;850;0.114;850;0.114
optim_instances/Instance_MAP5B_0_3.dat;45;39;560;2.285;560;2.285
optim_instances/Instance_MAP5B_1_1.dat;78;70;150;0.653;150;0.653
optim_instances/Instance_MAP5B_1_2.dat;78;70;230;0.417;230;0.417
optim_instances/Instance_MAP5B_1_3.dat;78;70;110;2.302;110;2.302
optim_instances/Instance_MAP5B_2_1.dat;101;115;210;2.117;210;2.117
optim_instances/Instance_MAP5B_2_2.dat;101;115;440;0.815;440;0.815
optim_instances/Instance_MAP5B_2_3.dat;101;115;280;9.019;280;9.019
optim_instances/Instance_MAP6B_0_1.dat;92;84;170;1.65;170;1.65
optim_instances/Instance_MAP6B_0_2.dat;92;84;1780;0.806;1780;0.806
optim_instances/Instance_MAP6B_0_3.dat;92;84;140;3.45;140;3.451
optim_instances/Instance_MAP6B_1_1.dat;112;155;450;0.721;450;0.721
optim_instances/Instance_MAP6B_1_2.dat;112;155;2460;0.647;2460;0.647
optim_instances/Instance_MAP6B_1_3.dat;112;155;1500;2.673;710;164.822
optim_instances/Instance_MAP6B_2_1.dat;181;175;390;3.782;390;3.782
optim_instances/Instance_MAP6B_2_2.dat;181;175;2680;2.323;2680;2.323
optim_instances/Instance_MAP6B_2_3.dat;181;175;1240;18.206;1240;18.207
