Channels number:3
Time limit (s)3600
Instance name ;|I| ;|J|; CPLEX LB; CPLEX UB; CPLEX time
optim_instances/Instance_MAP1A_0_1.dat;19;13;40;40;0.346
optim_instances/Instance_MAP1A_0_2.dat;19;13;350;350;0.041
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;30;0.363
optim_instances/Instance_MAP1A_1_1.dat;13;23;40;40;0.173
optim_instances/Instance_MAP1A_1_2.dat;13;23;80;80;0.037
optim_instances/Instance_MAP1A_1_3.dat;13;23;30;30;0.213
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;40;0.481
optim_instances/Instance_MAP1A_2_2.dat;30;24;220;220;0.123
optim_instances/Instance_MAP1A_2_3.dat;30;24;40;40;1.937
optim_instances/Instance_MAP2A_0_1.dat;22;24;70;70;0.165
optim_instances/Instance_MAP2A_0_2.dat;22;24;1180;1180;0.055
optim_instances/Instance_MAP2A_0_3.dat;22;24;40;40;0.565
optim_instances/Instance_MAP2A_1_1.dat;39;35;140;140;0.762
optim_instances/Instance_MAP2A_1_2.dat;39;35;890;890;0.169
optim_instances/Instance_MAP2A_1_3.dat;39;35;80;80;2.697
optim_instances/Instance_MAP2A_2_1.dat;47;56;120;120;2.624
optim_instances/Instance_MAP2A_2_2.dat;47;56;720;720;0.629
optim_instances/Instance_MAP2A_2_3.dat;47;56;70;70;14.666
optim_instances/Instance_MAP3A_0_1.dat;18;25;50;50;0.392
optim_instances/Instance_MAP3A_0_2.dat;18;25;280;280;0.175
optim_instances/Instance_MAP3A_0_3.dat;18;25;40;40;0.63
optim_instances/Instance_MAP3A_1_1.dat;45;40;70;70;3.878
optim_instances/Instance_MAP3A_1_2.dat;45;40;230;230;0.876
optim_instances/Instance_MAP3A_1_3.dat;45;40;60;60;14.062
optim_instances/Instance_MAP3A_2_1.dat;73;62;160;160;645.275
optim_instances/Instance_MAP3A_2_2.dat;73;62;910;910;36.123
optim_instances/Instance_MAP3A_2_3.dat;73;62;130;130;183.204
optim_instances/Instance_MAP4A_0_1.dat;26;38;60;60;1.016
optim_instances/Instance_MAP4A_0_2.dat;26;38;210;210;47.382
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;40;3.389
optim_instances/Instance_MAP4A_1_1.dat;41;36;190;190;0.66
optim_instances/Instance_MAP4A_1_2.dat;41;36;1010;1010;0.156
optim_instances/Instance_MAP4A_1_3.dat;41;36;380;380;1.704
optim_instances/Instance_MAP4A_2_1.dat;56;41;210;210;0.709
optim_instances/Instance_MAP4A_2_2.dat;56;41;1630;1630;0.229
optim_instances/Instance_MAP4A_2_3.dat;56;41;130;130;3.58
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;130;49.853
optim_instances/Instance_MAP5A_0_2.dat;45;39;730;730;7.896
optim_instances/Instance_MAP5A_0_3.dat;45;39;580;580;1605.92
optim_instances/Instance_MAP5A_1_1.dat;78;70;123.75;150;3605.12
optim_instances/Instance_MAP5A_1_2.dat;78;70;240;240;256.297
optim_instances/Instance_MAP5A_1_3.dat;78;70;120;120;157.535
optim_instances/Instance_MAP5A_2_1.dat;101;115;210;210;121.917
optim_instances/Instance_MAP5A_2_2.dat;101;115;440;440;51.613
optim_instances/Instance_MAP5A_2_3.dat;101;115;177.5;190;3621.59
optim_instances/Instance_MAP6A_0_1.dat;92;84;170;170;130.936
optim_instances/Instance_MAP6A_0_2.dat;92;84;1350;1350;682.898
optim_instances/Instance_MAP6A_0_3.dat;92;84;228.75;250;3613.32
optim_instances/Instance_MAP6A_1_1.dat;112;155;450;450;63.567
optim_instances/Instance_MAP6A_1_2.dat;112;155;2880;2880;192.208
optim_instances/Instance_MAP6A_1_3.dat;112;155;710;730;3630.8
optim_instances/Instance_MAP6A_2_1.dat;181;175;348.872;400;3670.77
optim_instances/Instance_MAP6A_2_2.dat;181;175;2626.09;3410;3621.2
optim_instances/Instance_MAP6A_2_3.dat;181;175;1231.25;7170;3735.58
optim_instances/Instance_MAP1B_0_1.dat;19;13;40;40;0.194
optim_instances/Instance_MAP1B_0_2.dat;19;13;160;160;0.085
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;30;0.775
optim_instances/Instance_MAP1B_1_1.dat;13;23;40;40;0.096
optim_instances/Instance_MAP1B_1_2.dat;13;23;170;170;0.043
optim_instances/Instance_MAP1B_1_3.dat;13;23;30;30;0.233
optim_instances/Instance_MAP1B_2_1.dat;30;24;60;60;0.494
optim_instances/Instance_MAP1B_2_2.dat;30;24;120;120;0.155
optim_instances/Instance_MAP1B_2_3.dat;30;24;40;40;1.706
optim_instances/Instance_MAP2B_0_1.dat;22;24;80;80;0.163
optim_instances/Instance_MAP2B_0_2.dat;22;24;590;590;0.047
optim_instances/Instance_MAP2B_0_3.dat;22;24;40;40;0.458
optim_instances/Instance_MAP2B_1_1.dat;39;35;130;130;0.708
optim_instances/Instance_MAP2B_1_2.dat;39;35;1090;1090;0.13
optim_instances/Instance_MAP2B_1_3.dat;39;35;80;80;2.383
optim_instances/Instance_MAP2B_2_1.dat;47;56;150;150;1.424
optim_instances/Instance_MAP2B_2_2.dat;47;56;800;800;0.548
optim_instances/Instance_MAP2B_2_3.dat;47;56;80;80;4.387
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;50;0.248
optim_instances/Instance_MAP3B_0_2.dat;18;25;310;310;0.089
optim_instances/Instance_MAP3B_0_3.dat;18;25;40;40;0.72
optim_instances/Instance_MAP3B_1_1.dat;45;40;60;60;3.219
optim_instances/Instance_MAP3B_1_2.dat;45;40;240;240;0.849
optim_instances/Instance_MAP3B_1_3.dat;45;40;60;60;11.713
optim_instances/Instance_MAP3B_2_1.dat;73;62;170;170;292.529
optim_instances/Instance_MAP3B_2_2.dat;73;62;1080;1080;4.967
optim_instances/Instance_MAP3B_2_3.dat;73;62;130;130;2526.76
optim_instances/Instance_MAP4B_0_1.dat;26;38;70;70;1.281
optim_instances/Instance_MAP4B_0_2.dat;26;38;310;310;0.34
optim_instances/Instance_MAP4B_0_3.dat;26;38;40;40;4.534
optim_instances/Instance_MAP4B_1_1.dat;41;36;180;180;0.501
optim_instances/Instance_MAP4B_1_2.dat;41;36;1480;1480;0.126
optim_instances/Instance_MAP4B_1_3.dat;41;36;400;400;1.071
optim_instances/Instance_MAP4B_2_1.dat;56;41;230;230;0.565
optim_instances/Instance_MAP4B_2_2.dat;56;41;1920;1920;0.185
optim_instances/Instance_MAP4B_2_3.dat;56;41;150;150;2.602
optim_instances/Instance_MAP5B_0_1.dat;45;39;130;130;9.519
optim_instances/Instance_MAP5B_0_2.dat;45;39;960;960;8.514
optim_instances/Instance_MAP5B_0_3.dat;45;39;560;560;275.187
optim_instances/Instance_MAP5B_1_1.dat;78;70;123.75;150;3604.71
optim_instances/Instance_MAP5B_1_2.dat;78;70;240;240;19.809
optim_instances/Instance_MAP5B_1_3.dat;78;70;110;110;400.81
optim_instances/Instance_MAP5B_2_1.dat;101;115;210;210;761.83
optim_instances/Instance_MAP5B_2_2.dat;101;115;650;650;351.189
optim_instances/Instance_MAP5B_2_3.dat;101;115;280;280;491.156
optim_instances/Instance_MAP6B_0_1.dat;92;84;170;170;46.522
optim_instances/Instance_MAP6B_0_2.dat;92;84;1990;1990;97.479
optim_instances/Instance_MAP6B_0_3.dat;92;84;140;140;472.09
optim_instances/Instance_MAP6B_1_1.dat;112;155;450;450;63.517
optim_instances/Instance_MAP6B_1_2.dat;112;155;2570;2570;248.303
optim_instances/Instance_MAP6B_1_3.dat;112;155;705.047;750;3629.74
optim_instances/Instance_MAP6B_2_1.dat;181;175;372.058;400;3657.8
optim_instances/Instance_MAP6B_2_2.dat;181;175;2790.1;3020;3618.97
optim_instances/Instance_MAP6B_2_3.dat;181;175;1231.25;17920;3739.64
