Channels number:3
Instance name ;|I| ;|J|;GH1 UB; GH1 time;GH2 UB; GH2 time 
optim_instances/Instance_MAP1A_0_1.dat;19;13;30;0;30;0.007
optim_instances/Instance_MAP1A_0_2.dat;19;13;40;0;40;0.007
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0;30;0.006
optim_instances/Instance_MAP1A_1_1.dat;13;23;30;0;20;0.015
optim_instances/Instance_MAP1A_1_2.dat;13;23;40;0;40;0.016
optim_instances/Instance_MAP1A_1_3.dat;13;23;20;0;20;0.011
optim_instances/Instance_MAP1A_2_1.dat;30;24;50;0.001;50;0.022
optim_instances/Instance_MAP1A_2_2.dat;30;24;70;0;70;0.02
optim_instances/Instance_MAP1A_2_3.dat;30;24;340;0;40;0.017
optim_instances/Instance_MAP2A_0_1.dat;22;24;50;0;50;0.014
optim_instances/Instance_MAP2A_0_2.dat;22;24;590;0;500;0.019
optim_instances/Instance_MAP2A_0_3.dat;22;24;40;0;30;0.013
optim_instances/Instance_MAP2A_1_1.dat;39;35;110;0.001;100;0.092
optim_instances/Instance_MAP2A_1_2.dat;39;35;790;0.003;790;0.13
optim_instances/Instance_MAP2A_1_3.dat;39;35;80;0.002;70;0.059
optim_instances/Instance_MAP2A_2_1.dat;47;56;110;0.004;90;0.212
optim_instances/Instance_MAP2A_2_2.dat;47;56;470;0.005;280;0.302
optim_instances/Instance_MAP2A_2_3.dat;47;56;80;0.003;70;0.193
optim_instances/Instance_MAP3A_0_1.dat;18;25;40;0;40;0.012
optim_instances/Instance_MAP3A_0_2.dat;18;25;460;0;300;0.017
optim_instances/Instance_MAP3A_0_3.dat;18;25;30;0;30;0.011
optim_instances/Instance_MAP3A_1_1.dat;45;40;120;0.002;80;0.094
optim_instances/Instance_MAP3A_1_2.dat;45;40;980;0.002;120;0.106
optim_instances/Instance_MAP3A_1_3.dat;45;40;960;0.002;460;0.09
optim_instances/Instance_MAP3A_2_1.dat;73;62;300;0.006;200;0.431
optim_instances/Instance_MAP3A_2_2.dat;73;62;2410;0.007;1740;0.46
optim_instances/Instance_MAP3A_2_3.dat;73;62;2870;0.006;1590;0.356
optim_instances/Instance_MAP4A_0_1.dat;26;38;40;0.001;40;0.049
optim_instances/Instance_MAP4A_0_2.dat;26;38;190;0.002;190;0.067
optim_instances/Instance_MAP4A_0_3.dat;26;38;40;0.001;40;0.046
optim_instances/Instance_MAP4A_1_1.dat;41;36;170;0.002;160;0.077
optim_instances/Instance_MAP4A_1_2.dat;41;36;1090;0.003;1090;0.122
optim_instances/Instance_MAP4A_1_3.dat;41;36;410;0.002;380;0.061
optim_instances/Instance_MAP4A_2_1.dat;56;41;220;0.004;190;0.158
optim_instances/Instance_MAP4A_2_2.dat;56;41;1410;0.005;1220;0.231
optim_instances/Instance_MAP4A_2_3.dat;56;41;210;0.003;110;0.135
optim_instances/Instance_MAP5A_0_1.dat;45;39;140;0.002;130;0.091
optim_instances/Instance_MAP5A_0_2.dat;45;39;840;0.002;730;0.101
optim_instances/Instance_MAP5A_0_3.dat;45;39;590;0.002;580;0.087
optim_instances/Instance_MAP5A_1_1.dat;78;70;170;0.011;150;0.632
optim_instances/Instance_MAP5A_1_2.dat;78;70;1000;0.01;410;0.727
optim_instances/Instance_MAP5A_1_3.dat;78;70;320;0.008;120;0.599
optim_instances/Instance_MAP5A_2_1.dat;101;115;220;0.028;210;3.368
optim_instances/Instance_MAP5A_2_2.dat;101;115;1130;0.039;760;4.206
optim_instances/Instance_MAP5A_2_3.dat;101;115;300;0.025;190;3.086
optim_instances/Instance_MAP6A_0_1.dat;92;84;300;0.014;210;1.159
optim_instances/Instance_MAP6A_0_2.dat;92;84;2220;0.018;1840;1.54
optim_instances/Instance_MAP6A_0_3.dat;92;84;2830;0.012;570;1.004
optim_instances/Instance_MAP6A_1_1.dat;112;155;480;0.048;450;7.3
optim_instances/Instance_MAP6A_1_2.dat;112;155;3970;0.066;3320;11.423
optim_instances/Instance_MAP6A_1_3.dat;112;155;1520;0.042;1340;6.191
optim_instances/Instance_MAP6A_2_1.dat;181;175;680;0.113;490;16.04
optim_instances/Instance_MAP6A_2_2.dat;181;175;7550;0.099;5180;18.456
optim_instances/Instance_MAP6A_2_3.dat;181;175;7280;0.077;4900;12.348
optim_instances/Instance_MAP1B_0_1.dat;19;13;40;0;30;0.003
optim_instances/Instance_MAP1B_0_2.dat;19;13;150;0;150;0.003
optim_instances/Instance_MAP1B_0_3.dat;19;13;40;0;30;0.003
optim_instances/Instance_MAP1B_1_1.dat;13;23;30;0;30;0.009
optim_instances/Instance_MAP1B_1_2.dat;13;23;70;0;50;0.011
optim_instances/Instance_MAP1B_1_3.dat;13;23;30;0;20;0.008
