Channels number ;3
Perturbation : 4
Instance name ;|I| ;|J|; H-inf value; H-inf time ; H-inf-reg value ; H-inf-reg time 
optim_instances/Instance_MAP1A_0_1.dat;19;13;30;0.066;30;0.066
optim_instances/Instance_MAP1A_0_2.dat;19;13;140;0.045;40;0.082
optim_instances/Instance_MAP1A_0_3.dat;19;13;30;0.041;30;0.041
optim_instances/Instance_MAP1A_1_1.dat;13;23;20;0.025;20;0.025
optim_instances/Instance_MAP1A_1_2.dat;13;23;40;0.029;40;0.029
optim_instances/Instance_MAP1A_1_3.dat;13;23;20;0.029;20;0.029
optim_instances/Instance_MAP1A_2_1.dat;30;24;40;0.131;40;0.131
optim_instances/Instance_MAP1A_2_2.dat;30;24;170;0.078;70;0.164
optim_instances/Instance_MAP1A_2_3.dat;30;24;140;0.28;40;1.321
optim_instances/Instance_MAP2A_0_1.dat;22;24;60;0.069;50;0.292
optim_instances/Instance_MAP2A_0_2.dat;22;24;590;0.066;500;0.124
optim_instances/Instance_MAP2A_0_3.dat;22;24;30;0.064;30;0.064
optim_instances/Instance_MAP2A_1_1.dat;39;35;100;0.138;90;0.639
optim_instances/Instance_MAP2A_1_2.dat;39;35;880;0.095;790;0.266
optim_instances/Instance_MAP2A_1_3.dat;39;35;60;0.321;60;0.321
optim_instances/Instance_MAP2A_2_1.dat;47;56;90;0.126;80;10.363
optim_instances/Instance_MAP2A_2_2.dat;47;56;270;0.118;270;0.118
optim_instances/Instance_MAP2A_2_3.dat;47;56;850;0.742;60;3.26
optim_instances/Instance_MAP3A_0_1.dat;18;25;40;0.032;40;0.032
optim_instances/Instance_MAP3A_0_2.dat;18;25;450;0.057;360;3.729
optim_instances/Instance_MAP3A_0_3.dat;18;25;30;0.037;30;0.037
optim_instances/Instance_MAP3A_1_1.dat;45;40;160;0.66;100;5.348
optim_instances/Instance_MAP3A_1_2.dat;45;40;700;0.366;420;4.582
optim_instances/Instance_MAP3A_1_3.dat;45;40;1350;0.732;560;4.837
optim_instances/Instance_MAP3A_2_1.dat;73;62;280;1.701;200;62.498
optim_instances/Instance_MAP3A_2_2.dat;73;62;2760;19.376;2150;25.462
optim_instances/Instance_MAP3A_2_3.dat;73;62;3870;14.773;710;75.496
optim_instances/Instance_MAP4A_0_1.dat;26;38;40;0.054;40;0.054
